county-fips,pct,fips,County,High And Extreme,High and Extreme %
1,0.13,1,Alameda,77000,13
3,0.88,3,Alpine,1600,88
5,0.61,5,Amador,11000,61
7,0.42,7,Butte,40300,42
9,0.65,9,Calaveras,18100,65
11,0.14,11,Colusa,1100,14
13,0.13,13,Contra Costa,50100,13
15,0.44,15,Del Norte,5000,44
17,0.61,17,El Dorado,53900,61
19,0.05,19,Fresno,16400,5
21,0.11,21,Glenn,1200,11
23,0.44,23,Humboldt,27300,44
25,0,25,Imperial,100,0
27,0.14,27,Inyo,1300,14
29,0.12,29,Kern,33100,12
31,0,31,Kings,100,0
33,0.56,33,Lake,19800,56
35,0.5,35,Lassen,6400,50
37,0.13,37,Los Angeles,444300,13
39,0.24,39,Madera,11800,24
41,0.3,41,Marin,33700,30
43,0.78,43,Mariposa,7900,78
45,0.59,45,Mendocino,23800,59
47,0.01,47,Merced,500,1
49,0.32,49,Modoc,1600,32
51,0.7,51,Mono,9700,70
53,0.28,53,Monterey,38500,28
55,0.44,55,Napa,24100,44
57,0.75,57,Nevada,39300,75
59,0.07,59,Orange,73800,7
61,0.24,61,Placer,37200,24
63,0.71,63,Plumas,11100,71
65,0.1,65,Riverside,76800,10
67,0.01,67,Sacramento,4800,1
69,0.29,69,San Benito,5200,29
71,0.16,71,San Bernardino,111500,16
73,0.22,73,San Diego,254400,22
75,0.02,75,San Francisco,8300,2
77,0,77,San Joaquin,300,0
79,0.33,79,San Luis Obispo,38300,33
81,0.15,81,San Mateo,40500,15
83,0.24,83,Santa Barbara,37100,24
85,0.1,85,Santa Clara,63200,10
87,0.5,87,Santa Cruz,52400,50
89,0.32,89,Shasta,25100,32
91,0.64,91,Sierra,1400,64
93,0.54,93,Siskiyou,13100,54
95,0.03,95,Solano,4300,3
97,0.23,97,Sonoma,47600,23
99,0.02,99,Stanislaus,3700,2
101,0,101,Sutter,100,0
103,0.4,103,Tehama,10700,40
105,0.81,105,Trinity,7000,81
107,0.08,107,Tulare,11400,8
109,0.8,109,Tuolumne,25100,80
111,0.28,111,Ventura,77900,28
113,0.01,113,Yolo,500,1
115,0.25,115,Yuba,6900,25
